City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Camacha,20,PT,2019-04-02,72,33.08,-16.33,15.0,1.5
Taksimo,76,RU,2019-04-02,62,56.36,114.84,-3.09,0.42
Verkhovazhye,0,RU,2019-04-02,81,60.75,42.05,-8.64,3.57
Muscat,0,OM,2019-04-02,53,23.6,58.55,25.0,1.5
Kadoma,0,ZW,2019-04-02,75,-18.34,29.91,16.41,3.32
Tapes,20,BR,2019-04-02,94,-30.67,-51.4,19.66,2.72
Garissa,0,KE,2019-04-02,75,-0.46,39.64,25.66,3.12
Uvat,24,RU,2019-04-02,79,59.14,68.9,0.46,6.47
Banda Aceh,36,ID,2019-04-02,83,5.56,95.32,28.51,0.87
Sola,75,NO,2019-04-02,69,58.89,5.65,5.0,6.2
Cabedelo,0,BR,2019-04-02,94,-6.97,-34.84,24.0,1.0
Belmonte,24,PT,2019-04-02,93,40.36,-7.35,8.33,1.17
Tornio,0,FI,2019-04-02,79,61.12,27.27,-1.0,4.1
Benjamin Hill,0,MX,2019-04-02,15,30.17,-111.1,23.33,1.79
Rehoboth,0,NA,2019-04-02,83,-23.31,17.08,10.56,1.02
Nottingham,0,GB,2019-04-02,70,52.95,-1.15,6.11,2.6
Grindavik,75,IS,2019-04-02,74,63.84,-22.43,-0.57,11.3
Broken Hill,0,AU,2019-04-02,31,-31.97,141.45,23.0,2.6
Severo-Kurilsk,76,RU,2019-04-02,96,50.68,156.12,-0.54,3.92
Rize,75,TR,2019-04-02,87,41.02,40.52,8.0,2.1
Rolla,1,US,2019-04-02,42,37.95,-91.77,8.0,2.6
Balkanabat,68,TM,2019-04-02,95,39.51,54.36,7.76,1.47
Pincher Creek,1,CA,2019-04-02,55,49.49,-113.95,4.0,2.6
Naliya,0,IN,2019-04-02,62,23.26,68.83,24.91,3.07
Santa Cruz,75,US,2019-04-02,77,36.97,-122.03,17.22,5.1
Callaway,1,US,2019-04-02,82,46.98,-95.91,2.22,6.2
Evensk,12,RU,2019-04-02,80,61.92,159.24,1.96,3.92
Fomboni,88,KM,2019-04-02,100,-12.28,43.74,29.31,1.77
Kakonko,24,TZ,2019-04-02,91,-3.28,30.97,14.11,0.87
Nautla,100,MX,2019-04-02,100,20.22,-96.78,19.96,7.92
Lujan,0,AR,2019-04-02,48,-46.57,-67.67,17.76,12.47
Port Lincoln,0,AU,2019-04-02,75,-34.72,135.86,22.11,5.22
Amahai,20,ID,2019-04-02,100,-3.31,129.0,28.51,4.72
Ewo,92,CG,2019-04-02,98,-0.88,14.81,20.91,1.72
Narsaq,92,GL,2019-04-02,84,60.91,-46.05,-4.79,1.92
Fuxin,0,CN,2019-04-02,28,42.02,121.65,9.61,5.32
Torbay,90,CA,2019-04-02,93,47.66,-52.73,4.0,12.3
Amudat,0,UG,2019-04-02,85,1.95,34.95,14.16,1.17
Chenzhou,8,CN,2019-04-02,100,25.81,113.03,20.06,2.07
Qandala,0,SO,2019-04-02,95,11.47,49.87,18.41,0.82
Ballina,68,IE,2019-04-02,85,54.11,-9.15,4.44,5.36
Faanui,88,PF,2019-04-02,100,-16.48,-151.75,29.56,2.67
Kirakira,44,SB,2019-04-02,100,-10.46,161.92,28.71,4.02
Tessalit,0,ML,2019-04-02,30,20.2,1.01,22.21,4.37
Kayes,0,ML,2019-04-02,65,14.44,-11.44,24.41,1.47
Wanning,0,AT,2019-04-02,52,48.64,13.53,6.0,3.6
Calama,0,CL,2019-04-02,44,-22.46,-68.93,15.0,7.7
Agadir,75,MA,2019-04-02,82,30.42,-9.58,14.0,1.5
Uglovskoye,0,RU,2019-04-02,51,51.36,80.19,6.96,1.97
Menongue,48,AO,2019-04-02,38,-14.66,17.68,20.01,2.07
Thanh Hoa,20,VN,2019-04-02,66,10.21,106.33,30.0,5.7
Nalut,0,LY,2019-04-02,95,31.86,10.98,8.31,1.57
Bar Harbor,1,US,2019-04-02,46,44.39,-68.2,-0.57,1.5
Acapulco,5,MX,2019-04-02,74,16.86,-99.88,27.0,3.6
Lavrentiya,48,RU,2019-04-02,100,65.58,-170.99,-2.04,0.52
Kunya,0,NG,2019-04-02,44,12.22,8.53,19.71,1.92
Nabire,12,ID,2019-04-02,68,-3.36,135.5,28.31,1.12
Wuwei,88,CN,2019-04-02,32,37.93,102.64,8.96,1.42
Pisco,75,PE,2019-04-02,88,-13.71,-76.2,20.0,4.6
Luanda,20,AO,2019-04-02,97,-8.83,13.24,27.01,3.67
Linqiong,75,CN,2019-04-02,87,30.42,103.46,14.0,3.0
Half Moon Bay,75,US,2019-04-02,93,37.46,-122.43,16.11,6.2
Hukuntsi,0,BW,2019-04-02,88,-23.98,21.76,15.31,1.27
Provideniya,90,RU,2019-04-02,74,64.42,-173.23,1.0,3.0
Nanortalik,92,GL,2019-04-02,100,60.14,-45.24,-2.89,13.22
Tuatapere,92,NZ,2019-04-02,70,-46.13,167.69,13.33,2.24
Aksarka,0,RU,2019-04-02,78,66.56,67.8,-9.09,5.37
Katsuura,75,JP,2019-04-02,40,33.93,134.5,11.0,7.7
Cody,1,US,2019-04-02,93,44.53,-109.06,5.0,5.7
Jati,0,PK,2019-04-02,60,24.35,68.27,25.36,3.02
Weligama,8,LK,2019-04-02,89,5.97,80.42,28.36,1.32
Melbourne,24,AU,2019-04-02,35,-37.81,144.96,25.56,7.7
Bone,20,ID,2019-04-02,74,-5.29,119.42,30.0,2.6
Ambulu,36,ID,2019-04-02,100,-8.35,113.61,27.51,1.02
Itarema,80,BR,2019-04-02,100,-2.92,-39.92,23.26,3.17
Leh,20,IN,2019-04-02,82,34.16,77.58,-18.64,0.72
Berdigestyakh,76,RU,2019-04-02,59,62.1,126.7,1.21,1.97
Hadrut,88,AZ,2019-04-02,92,39.52,47.03,-0.64,0.77
Esperance,20,TT,2019-04-02,74,10.24,-61.45,26.0,3.6
Klaksvik,90,FO,2019-04-02,100,62.23,-6.59,0.0,0.5
Tevaitoa,68,PF,2019-04-02,100,-16.78,-151.5,28.56,2.67
Krasnoborsk,0,RU,2019-04-02,85,61.56,45.93,-6.99,2.47
Catuday,0,PH,2019-04-02,88,16.29,119.81,28.96,2.47
Eydhafushi,0,MV,2019-04-02,100,5.1,73.07,28.46,1.47
Freire,0,CL,2019-04-02,87,-38.95,-72.63,13.0,1.5
Derzhavinsk,0,KZ,2019-04-02,90,51.1,66.31,-0.34,1.67
Waipawa,92,NZ,2019-04-02,76,-39.94,176.59,13.89,5.37
Calabozo,0,VE,2019-04-02,44,8.92,-67.43,28.56,6.57
Marienburg,0,DE,2019-04-02,64,52.12,9.98,5.56,3.6
Kieta,64,PG,2019-04-02,100,-6.22,155.63,27.46,1.87
Banfora,80,BF,2019-04-02,96,10.64,-4.75,20.71,4.57
Atambua,8,ID,2019-04-02,99,-9.11,124.89,28.61,1.27
Port Blair,36,IN,2019-04-02,100,11.67,92.75,28.66,2.77
Turka,0,UA,2019-04-02,60,49.16,23.03,0.0,1.79
Narrabri,44,AU,2019-04-02,38,-30.33,149.78,25.0,5.1
Launceston,90,AU,2019-04-02,58,-41.43,147.14,16.67,7.7
Denham Springs,90,US,2019-04-02,43,30.49,-90.96,13.33,3.07
Shingu,20,JP,2019-04-02,39,33.72,135.99,10.0,7.2
Pandamatenga,0,BW,2019-04-02,66,-18.54,25.64,16.81,1.67
Ranong,20,TH,2019-04-02,70,9.96,98.62,31.0,1.0
